houseTypes,area,num_floors,bedrooms,address,price,url
Bán Nhà riêng,53,,1,"Tân Phú, TP Hồ Chí Minh",4.3,https://batdongsan.vn/nha-2-tam-hxh-53m2-ngay-cho-phu-trung-giap-tan-binh-q11-chi-4-ty-x-nho-xiu-r268575
Bán Nhà riêng,72,2,3,"Quận 12, TP Hồ Chí Minh",5.2,https://batdongsan.vn/nha-moi-dep-hem-xe-hoi-ngay-tan-thoi-nhat-quan-12-ngang-4m-54m2chi-52ty-r268574
Bán Nhà riêng,26,2,2,"Quận 11, TP Hồ Chí Minh",2.0,https://batdongsan.vn/ban-nha-lac-long-quan-q11-hem-6m-26m2-2-tang-chi-2-ty-con-tl-r268573
Bán Nhà mặt phố,40,2,3,"Quận 8, TP Hồ Chí Minh",3.0,https://batdongsan.vn/ban-nha-pham-the-hien-phuong-4-quan-8-r268571
Bán Nhà riêng,58,1,2,"Tân Phú, TP Hồ Chí Minh",5.5,https://batdongsan.vn/nha-mat-tien-kinh-doanh-tan-ky-tan-quy-canh-aeon-tan-phu-55-ty-r268570
Bán Nhà riêng,60,,3,"Gò Vấp, TP Hồ Chí Minh",5,https://batdongsan.vn/hxh-5-ty-4x15-3pn-le-quang-dinh-p4-go-vap-r268567
Bán Nhà riêng,35,1,2,"Bình Thạnh, TP Hồ Chí Minh",3.5,https://batdongsan.vn/2pn-35-ty-35x10-dinh-tien-hoang-p3-binh-thanh-r268566
Bán Nhà riêng,43,,,"Hà Đông, Hà Nội",4.4,https://batdongsan.vn/chi-nhinh-4-ty-co-ngay-can-nha-43m2-3-mat-thoang-o-to-vao-nha-nga-5-ha-tri-r268565
Bán Nhà mặt phố,100,,5,"Bình Thạnh, TP Hồ Chí Minh",3.9,https://batdongsan.vn/ban-gap-nha-mat-tien-moi-xay-dep-duong-nguyen-xi-p13-binh-thanh-r268564
Bán Nhà mặt phố,132,3,6,"Phú Nhuận, TP Hồ Chí Minh",3.6,https://batdongsan.vn/chinh-chu-ban-gap-nha-mat-tien-sieu-dep-nguyen-dinh-chieu-phuong-3-phu-nhuan-r268563
Bán Nhà riêng,42,,3,"Gò Vấp, TP Hồ Chí Minh",4.6,https://batdongsan.vn/nha-chua-qua-dau-tu-tien-xay-moi-hem-4m-sat-ben-binh-thanh-r268562
Bán Nhà riêng,30,5,1,"Nam Từ Liêm, Hà Nội",6.8,https://batdongsan.vn/ban-nha-phu-my-le-duc-tho-kinh-doanh-sam-uat-30m2-68-ty-r268559
Bán Nhà riêng,52,5,2,"Nam Từ Liêm, Hà Nội",8.5,https://batdongsan.vn/ban-nha-phu-my-le-duc-tho-lo-goc-kinh-doanh-sam-uat-52m2-85-ty-r268558
Bán Nhà riêng,39,5,,"Bắc Từ Liêm, Hà Nội",7.5,https://batdongsan.vn/ban-nha-pham-van-dong-mat-tien-rong-dep-o-to-tranh-bac-tu-liem-39m2-75-ty-r268557
Bán Nhà riêng,33,5,,"Bắc Từ Liêm, Hà Nội",4.3,https://batdongsan.vn/ban-nha-xuan-dinh-nha-dep-full-noi-that-moi-ngo-o-to-tranh-33-m2-43-ty-r268556
Bán Nhà riêng,108,2,3,"Bình Thạnh, TP Hồ Chí Minh",11.2,https://batdongsan.vn/hxh-6x18-dien-bien-phu-11-ty-2-p22-binh-thanh-r268550
Bán Nhà riêng,38,,2,"Gò Vấp, TP Hồ Chí Minh",2.7,https://batdongsan.vn/hxh-35x11-thong-nhat-27-ty-p16-go-vap-r268549
Bán Nhà riêng,26,2,2,"Bình Tân, TP Hồ Chí Minh",2.3,https://batdongsan.vn/ban-nha-tan-hoa-dong-binh-tan-hem-3-gac-nha-2-tang-2-pn-full-cong-nang-nhinh-2-ty-thuong-luong-r268544
Bán Nhà riêng,60,2,2,"Tân Phú, TP Hồ Chí Minh",4.65,https://batdongsan.vn/xe-tai-do-cua-vi-tri-kinh-doanh-gan-mat-tien-duong-60m2-nha-dep-2-tang-nhinh-4-ty-r268543
Bán Nhà riêng,96,,,"Vĩnh Cửu, Đồng Nai",0.82,https://batdongsan.vn/nha-gan-buu-longnga-tu-ben-ca-820tr-r268542
Bán Nhà mặt phố,20,2,,"Thủ Đức, TP Hồ Chí Minh",2.15,https://batdongsan.vn/ban-nha-hem-10m-ra-mtd-gan-vanh-dai-2-2-tang-shr-chi-nhinh-2-ty-linh-dong-thu-duc-r268541
Bán Nhà riêng,42,4,4,"Thanh Xuân, Hà Nội",6.8,https://batdongsan.vn/can-ban-nha-nga-tu-so-thanh-xuan-oto-chanh-oto-vao-nha-42m-x4tang-gia-6x-ty-r268539
Bán Nhà riêng,70,,2,"Hóc Môn, TP Hồ Chí Minh",0.6,https://batdongsan.vn/ban-ngop-can-nha-nat-70m2-mat-tien-xuan-thoi-thuong-hoc-mon-shr-r268535
Bán Nhà mặt phố,46,1,3,"Thuận An, Bình Dương",2.45,https://batdongsan.vn/ra-nhanh-lo-500-trieu-nha-tt-tp-thuan-an-full-noi-that-cao-cap-r268534
Bán Nhà riêng,48,5,6,"Long Biên, Hà Nội",4.8,https://batdongsan.vn/nha-lam-du-bo-de-48m-x-5-tang-mt-4m-o-to-gan-4-ty-8-r268533
Bán Nhà riêng,45,6,4,"Thanh Xuân, Hà Nội",6.3,https://batdongsan.vn/ban-nha-nga-tu-so-quan-thanh-xuan-thang-may-gan-oto-45m-x6tmt4m-r268524
